default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
CSCOHYF0300301;Bobine blanches 1000F 2P Ecolabel Colis de 2 REF;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;14,68;2;VRAI;;;;;;Article stockable;BOBINE1000F;

CSCOHYF0300302;Bobines blanches 450F 2P Ecolabel Colis de 6 REF;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;19,84;6;VRAI;;;;;;Article stockable;BOBINE450F;
CSCOHYF0300303;Gant latex naturel non poudre medical taille S Boite de 100;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;14,34;100;VRAI;;;;;;Article stockable;GANTLATEXNPS;

CSCOHYF0300304;Gant latex bleu non poudre taille 8 / M Boite de 100;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;14,84;100;VRAI;;;;;;Article stockable;GANTNITRNPM;
CSCOHYF0300305;Gant vinyle naturel non poudre taille L Boite de 100;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;12,9;100;VRAI;;;;;;Article stockable;GANTVINYLENPL;
CSCOHYF0300306;Gant vinyle naturel non poudre Taille M Boire de 100;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;12,9;100;VRAI;;;;;;Article stockable;GANTVINYLNPM;
CSCOHYF0300307;COUVRE CHAUSSURES PE BLEU TAILLE STANDARD 1 PAQUET;All / Fournisseurs / Consommables / BL NETT / Consommables hygiène;BL NETT;2,67;100;VRAI;;;;;;Article stockable;CCBLEUSTANDARD;
CSEQPRF0300101;BAC NE 600x400x50;All / Fournisseurs / Consommables / RAJA / Equipements production;RAJA;12,65;;VRAI;;;;;;Article stockable;E6405;

CSCOHYF0300101;BT 100 GANT LATEX T6-7;All / Fournisseurs / Consommables / RAJA / Consommables hygiène;RAJA;11,8;;VRAI;;;;;;Article stockable;LATEX7;

CSCOHYF0300102;SH 100 CHARLOTTE USAGE UNIQUE;All / Fournisseurs / Consommables / RAJA / Consommables hygiène;RAJA;8,45;;VRAI;;;;;;Article stockable;VC12070;

CSCOHYF0300103;BT 100 SURCHAUSSURE PP BLEU;All / Fournisseurs / Consommables / RAJA / Consommables hygiène;RAJA;13,35;;VRAI;;;;;;Article stockable;55618;

CSCOLOF0300101;BIDON PLASTIQUE EMPLIABLE 10L;All / Fournisseurs / Consommables / RAJA / Consommables logistique;RAJA;6,43;;VRAI;;;;;;Article stockable;BID10N;

CSCOLOF0300102;BOB FILM ETIR 450MMx300M 17MI;All / Fournisseurs / Consommables / RAJA / Consommables logistique;RAJA;8,9;;VRAI;;;;;;Article stockable;FEB13;

CSCOLOF0300103;PQ 50 CORNIERE CART 35x35x800;All / Fournisseurs / Consommables / RAJA / Consommables logistique;RAJA;21,15;;VRAI;;;;;;Article stockable;COR3580N;

CSCOLOF0300104;BIDON PLASTIQUE STANDARD 5L;All / Fournisseurs / Consommables / RAJA / Consommables logistique;RAJA;2,26;;VRAI;;;;;;Article stockable;BID5N;

CSCOBUF0300101;BT 100PL ETI COLISSIMO 120x164;All / Fournisseurs / Consommables / RAJA / Consommables bureau;RAJA;16,2;;VRAI;;;;;;Article stockable;L7980C;
CSCOBUF0300601;Caisse de 5 Ramette de 500 Feuilles ESSENTIEL A4 80GR BLANC;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;15,83;;VRAI;;;;;;Article stockable;138920;

CSCOBUF0300602;Bloc Post-It Super Sticky POST IT 76x76 mm Jaune;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;1,49;;VRAI;;;;;;Article stockable;144948;

CSCOBUF0300603;Lot de 50pochettes Kraft C4 autoadhesives 90g;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;6,66;;VRAI;;;;;;Article stockable;138667;

CSCOBUF0300604;Porte vues A4 EXACOMPTA 100 vues;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;2,49;;VRAI;;;;;;Article stockable;;

CSCOBUF0300605;Classeur levier A4 EXACOMPTA Dos 50mm;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;2,49;;VRAI;;;;;;Article stockable;69220;

CSCOBUF0300606;Lot de 10 Classeurs à levier PVC A4 EXACOMPTA Dos de 70mm;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;27,59;;VRAI;;;;;;Article stockable;169686;

CSCOBUF0300607;Intercalaire alphabétiques A4 OXFORD 20 positions;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;4,07;;VRAI;;;;;;Article stockable;63571;

CSCOBUF0300608;Lot de 50 pochettes perforées A4 Transparent;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;2,83;;VRAI;;;;;;Article stockable;132413;

CSCOBUF0300609;Lot de 8 crayon graphite HB Evolution BIC Embout gomme;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;2,49;;VRAI;;;;;;Article stockable;147458;

CSCOBUF0300610;Lot de 10 chemises à élastique 24x32cm  Dos de 25mm ;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;5,24;;VRAI;;;;;;Article stockable;132412;

CSCOBUF0300611;Toner laser compatible BROTHER TN210 ARMOR Noir;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;33,33;;VRAI;;;;;;Article stockable;162637;

CSCOBUF0300612;Cartouche d'encre HP 303 XL T6N04AE HP Noir;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;31,66;;VRAI;;;;;;Article stockable;164825;

CSCOBUF0300613;Boite 10 surligneurs Boss STABILO ;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;8,65;;VRAI;;;;;;Article stockable;714;

CSCOBUF0300614;Lot de 2 piles rechargeables ReCyko AA CP 2600 mAh;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;8,33;;VRAI;;;;;;Article stockable;157508;

CSCOBUF0300615;Pince agrafeuse intial WONDAY N°10;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;3,82;;VRAI;;;;;;Article stockable;192351;

CSCOBUF0300616;10 pochettes bulle d'air 21x33,5cm Antichoc - Auto adheésives;All / Fournisseurs / Consommables / Top Office / Consommables bureau;TOP OFFICE;3,96;;VRAI;;;;;;Article stockable;148200;

CSEQBUF0300601;Caisse à monnaie SIGN;All / Fournisseurs / Consommables / Top Office / Equipements bureau;TOP OFFICE;12,25;;VRAI;;;;;;Article stockable;64400;

;;;;;;;;;;;;;;

CSCARTF0300201;Caisse américaine double cannelure écru, kraft 300mmx300mmx300mm;All / Fournisseurs / Consommables / Antalis / Cartons;ANTALIS;0,75;10;VRAI;;;;;;Article stockable;485114;

;;;;;;;;;;;;;;

CSBACTF0300401;GELOSE PCA 20 BOITES 90MM;All / Fournisseurs / Consommables / Grosseron / Bactériologie;GROSSERON;18,24;;VRAI;;;;;;Article stockable;9010032;

CSBACTF0300402;GELOSE SABOURAUD 20 BOITES 90MM;All / Fournisseurs / Consommables / Grosseron / Bactériologie;GROSSERON;18,24;;VRAI;;;;;;Article stockable;90110035;

CSBACTF0300403;EAU PEPTONEE TAMPONNEE 50x9ML;All / Fournisseurs / Consommables / Grosseron / Bactériologie;GROSSERON;30,64;;VRAI;;;;;;Article stockable;91MP056;

CSCOLAF0300401;PIPETTE TRANSFERT 1ML PE L150 ST S/S PELABLE 1 BTE500;All / Fournisseurs / Consommables / Grosseron / Consommables laboratoire;GROSSERON;47,9;;VRAI;;;;;;Article stockable;411038;

CSCOLAF0300402;PIPETTE PASTEUR PE 3ML GRADUEE NON TSERILE LONG 162MM BTE 500;All / Fournisseurs / Consommables / Grosseron / Consommables laboratoire;GROSSERON;19,17;;VRAI;;;;;;Article stockable;GR210503;

CSEQLAF0300401;BAIN MARIE GRANT BASIC JBA12 DIGITAL 12 L;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;632,1;;VRAI;;;;;;Article stockable;905876;

CSEQLAF0300402;ELECTRODE PH LE438-IP67;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;179;;VRAI;;;;;;Article stockable;330170;

CSEQLAF0300403;PINCE MACHOIRE 4 DENTS 30-80 MM;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;28,8;;VRAI;;;;;;Article stockable;2810;

CSEQLAF0300404;THERMOMETRE INFRA ROUGE TESTO 830 T1 VISEE LASER 1 POINT;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;56,36;;VRAI;;;;;;Article stockable;T230945;

CSEQLAF0300405;SPATULE ACIER INOX VERSEUSE 200MM;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;4,19;;VRAI;;;;;;Article stockable;186920;

CSEQLAF0300406;BECHER PYREX GRADUE US.INTENS F BASSE 250ML BT12;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;119,11;;VRAI;;;;;;Article stockable;4100325;

CSEQLAF0300407;BECHER PYREX GRADUE US.INTENS F BASSE 400ML BT12;All / Fournisseurs / Consommables / Grosseron / Equipements laboratoire;GROSSERON;96,01;;VRAI;;;;;;Article stockable;4100340;

;;;;;;;;;;;;;;

CSCOMAF0300501;SOLVANT PR ENCRE SS CARBONE 1L;All / Fournisseurs / Consommables / Tiflex / Consommables machine;TIFLEX;33,35;;VRAI;;;;;;Article stockable;06H1TH18E;

CSCOMAF0300502;ENCRE MEK SANS CARBONE NOIR 1L;All / Fournisseurs / Consommables / Tiflex / Consommables machine;TIFLEX;82,6;;VRAI;;;;;;Article stockable;06H1JPK72;

;;;;;;;;;;;;;;

CSCOBUF0300701;PACK 4 TONERS COMPATIBLES CANON 054H HAUTE CAPACIRE - NOIR CYAN MAGENTA JAUNE - XL ;All / Fournisseurs / Consommables / Cartouche Club / Consommables bureau;CARTOUCHE CLUB;111,00;;VRAI;;;;;;Article stockable;CC054HPACK;

PFHVF0200101;HV COPRAH BIO;All / Fournisseurs / Matières premières / Aldivia;ALDIVIA;6,48;;VRAI;;;;;;Article stockable;;Huile végétales

PFHVF0200102;HV RICIN BIO;All / Fournisseurs / Matières premières / Aldivia;ALDIVIA;10,92;;VRAI;;;;;;Article stockable;;Huile végétales

;;;;;;;;;;;;;;

PFEMF0200201;CETIOL CC;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;13,99;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0200202;CETIOL LDO;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;13,5;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0200203;CETIOL MM;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;15,07;;VRAI;;;;;;Article stockable;;Emollient

PFEMF0200204;GLYCERINE 99,5%;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;1,85;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0200201;CUTINA CBS;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;10,5;;VRAI;;;;;;Article stockable;;Texturants

PFTTF0200202;CUTINA CP;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;5,85;;VRAI;;;;;;Article stockable;;Texturants

PFATF0200201;CETIOL HE;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;7,24;;VRAI;;;;;;Article stockable;;Autres

PFATF0200202;COVI-OX T 70 C;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;145,35;;VRAI;;;;;;Article stockable;;Autres

PFATF0200203;DEHYTON K COS;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;2,90;;VRAI;;;;;;Article stockable;;Autres

PFATF0200204;EUMULGIN B25;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;5,80;;VRAI;;;;;;Article stockable;;Autres

PFATF0200205;EUMULGIN RO 40;All / Fournisseurs / Matières premières / AMI Ingrédients;AMI Ingredients;6,30;;VRAI;;;;;;Article stockable;;Autres

